Gender,Sector,Age,Vacc Period,Epi Day,Cohort,N_person,Rate_per_1K
male,ultra-Orthodox Jews,70-79,JanB,12/08/2021,2nd,1028,1.945525292
male,ultra-Orthodox Jews,70-79,JanB,12/08/2021,12+,24,0
male,ultra-Orthodox Jews,70-79,FebA,12/08/2021,2nd,997,0
male,ultra-Orthodox Jews,70-79,FebA,12/08/2021,12+,<5,0
male,ultra-Orthodox Jews,70-79,FebB,12/08/2021,2nd,274,3.649635036
male,ultra-Orthodox Jews,80+,JanB,12/08/2021,2nd,529,1.890359168
male,ultra-Orthodox Jews,80+,JanB,12/08/2021,12+,12,0
male,ultra-Orthodox Jews,80+,FebA,12/08/2021,2nd,556,0
male,ultra-Orthodox Jews,80+,FebA,12/08/2021,12+,<5,0
male,ultra-Orthodox Jews,80+,FebB,12/08/2021,2nd,124,0
female,General Jewish,60-69,JanB,13/08/2021,2nd,38246,0.444490927
female,General Jewish,60-69,JanB,13/08/2021,12+,5664,0.176553672
female,General Jewish,60-69,FebA,13/08/2021,2nd,40978,0.536873444
female,General Jewish,60-69,FebA,13/08/2021,12+,676,0
female,General Jewish,60-69,FebB,13/08/2021,2nd,11281,0.531867742
female,General Jewish,60-69,FebB,13/08/2021,12+,40,0
female,General Jewish,70-79,JanB,13/08/2021,2nd,23478,0.383337593
female,General Jewish,70-79,JanB,13/08/2021,12+,6096,0.164041995
female,General Jewish,70-79,FebA,13/08/2021,2nd,24063,0.581806092
female,General Jewish,70-79,FebA,13/08/2021,12+,790,0
female,General Jewish,70-79,FebB,13/08/2021,2nd,5840,0.171232877
female,General Jewish,70-79,FebB,13/08/2021,12+,29,0
female,General Jewish,80+,JanB,13/08/2021,2nd,15583,0.320862478
female,General Jewish,80+,JanB,13/08/2021,12+,2825,0
female,General Jewish,80+,FebA,13/08/2021,2nd,16820,0.237812128
female,General Jewish,80+,FebA,13/08/2021,12+,594,0
female,General Jewish,80+,FebB,13/08/2021,2nd,3772,0
female,General Jewish,80+,FebB,13/08/2021,12+,19,0
female,Arab,60-69,JanB,13/08/2021,2nd,3136,0
female,Arab,60-69,JanB,13/08/2021,12+,126,0
female,Arab,60-69,FebA,13/08/2021,2nd,7522,0.132943366
female,Arab,60-69,FebA,13/08/2021,12+,31,0
female,Arab,60-69,FebB,13/08/2021,2nd,3292,0.303766707
female,Arab,60-69,FebB,13/08/2021,12+,5,0
female,Arab,70-79,JanB,13/08/2021,2nd,1674,0
female,Arab,70-79,JanB,13/08/2021,12+,76,0
female,Arab,70-79,FebA,13/08/2021,2nd,4004,0.24975025
female,Arab,70-79,FebA,13/08/2021,12+,29,0
female,Arab,70-79,FebB,13/08/2021,2nd,1610,0
female,Arab,70-79,FebB,13/08/2021,12+,<5,0
female,Arab,80+,JanB,13/08/2021,2nd,938,0
female,Arab,80+,JanB,13/08/2021,12+,34,0
female,Arab,80+,FebA,13/08/2021,2nd,1540,0.649350649
female,Arab,80+,FebA,13/08/2021,12+,5,0
female,Arab,80+,FebB,13/08/2021,2nd,609,0
female,Arab,80+,FebB,13/08/2021,12+,<5,0
female,ultra-Orthodox Jews,60-69,JanB,13/08/2021,2nd,1767,2.263723826
female,ultra-Orthodox Jews,60-69,JanB,13/08/2021,12+,157,0
